Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
CRISTIANO RONALDO,02/03,LIGA PORTUGAL,6,2002-10-07,H,SPORTING CP,MOREIRENSE FC,3:00,LW,34,2:00,SOLO RUN,OTHER
CRISTIANO RONALDO,02/03,LIGA PORTUGAL,6,2002-10-07,H,SPORTING CP,MOREIRENSE FC,3:00,LW,90+5,3:00,HEADER,RUI JORGE
CRISTIANO RONALDO,02/03,LIGA PORTUGAL,8,2002-10-26,A,SPORTING CP,BOAVISTA FC,1:02,OTHER,88,1:02,RIGHT-FOOTED SHOT,CARLOS MARTINS
CRISTIANO RONALDO,02/03,TACA DE PORTUGAL PLACARD,FOURTH ROUND,2002-11-24,H,SPORTING CP,CD ESTARREJA,4:01,OTHER,67,3:00,LEFT-FOOTED SHOT,CESAR PRATES
CRISTIANO RONALDO,02/03,TACA DE PORTUGAL PLACARD,FIFTH ROUND,2002-12-18,H,SPORTING CP,FC OLIVEIRA DO HOSPITAL,8:01,OTHER,13,3:00,OTHER,OTHER
CRISTIANO RONALDO,03/04,PREMIER LEAGUE,11,2003-11-01,H,MANCHESTER UNITED,PORTSMOUTH FC,3:00,RW,80,2:00,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,03/04,FA CUP,FIFTH ROUND,2004-02-14,H,MANCHESTER UNITED,MANCHESTER CITY,4:02,RW,74,3:00,RIGHT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,03/04,PREMIER LEAGUE,29,2004-03-20,H,MANCHESTER UNITED,TOTTENHAM HOTSPUR,3:00,OTHER,89,2:00,RIGHT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,03/04,PREMIER LEAGUE,32,2004-04-10,A,MANCHESTER UNITED,BIRMINGHAM CITY,1:02,OTHER,60,1:01,HEADER,RYAN GIGGS
CRISTIANO RONALDO,03/04,PREMIER LEAGUE,38,2004-05-15,A,MANCHESTER UNITED,ASTON VILLA,0:02,OTHER,4,0:01,RIGHT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,03/04,FA CUP,FINAL,2004-05-22,H,MANCHESTER UNITED,MILLWALL FC,3:00,RW,44,1:00,HEADER,GARY NEVILLE
CRISTIANO RONALDO,04/05,PREMIER LEAGUE,16,2004-12-04,H,MANCHESTER UNITED,SOUTHAMPTON FC,3:00,OTHER,87,3:00,RIGHT-FOOTED SHOT,GARY NEVILLE
CRISTIANO RONALDO,04/05,FA CUP,THIRD ROUND,2005-01-19,A,MANCHESTER UNITED,EXETER CITY,0:02,OTHER,9,0:01,OTHER,PAUL SCHOLES
CRISTIANO RONALDO,04/05,PREMIER LEAGUE,24,2005-01-22,H,MANCHESTER UNITED,ASTON VILLA,3:01,OTHER,8,1:00,RIGHT-FOOTED SHOT,LOUIS SAHA
CRISTIANO RONALDO,04/05,PREMIER LEAGUE,25,2005-02-01,A,MANCHESTER UNITED,ARSENAL FC,2:04,RW,54,2:02,LEFT-FOOTED SHOT,RYAN GIGGS
